Acct Assignment Cat.,Item Category,Plant,Document Date,Purchasing Document,Item,Purchasing Doc. Type,Purchasing Group,Vendor/supplying plant,Material,Short Text,Order Quantity,Net Order Value,Currency,Still to be delivered (qty),Still to be delivered (value),Still to be invoiced (qty),Still to be invoiced (val.),Material Group,Release status,Release Strategy,Purch. Doc. Category,Company Code,Terms of Payment
,,0E4E,11/14/2017,4500674987,10,NB,0OE,1119049    El-Masry Tools Center,30409611,grown electricity,3,510.00,EGP,0,0.00,0,0.00,030599,X,01,F,EG07,0D09
,,0E4E,11/14/2017,4500674987,20,NB,0OE,1119049    El-Masry Tools Center,30409511,electricity qsafp,3,510.00,EGP,0,0.00,0,0.00,030599,X,01,F,EG07,0D09
,,0E4E,11/14/2017,4500674987,30,NB,0OE,1119049    El-Masry Tools Center,30412348,screwdriver set (7 pieces german),2,500.00,EGP,0,0.00,0,0.00,030599,X,01,F,EG07,0D09
,,0E4E,11/14/2017,4500674987,40,NB,0OE,1119049    El-Masry Tools Center,30410473,screwdriver for hammering,1,380.00,EGP,0,0.00,0,0.00,030599,X,01,F,EG07,0D09
,,0E4E,11/14/2017,4500674987,50,NB,0OE,1119049    El-Masry Tools Center,40175573,snap ring clamp pincer,1,600.00,EGP,0,0.00,0,0.00,041011,X,01,F,EG07,0D09
,,0E4E,11/14/2017,4500674987,60,NB,0OE,1119049    El-Masry Tools Center,40175518,clamp pincer,1,150.00,EGP,0,0.00,0,0.00,041011,X,01,F,EG07,0D09
,,0E4E,11/14/2017,4500674987,70,NB,0OE,1119049    El-Masry Tools Center,30409657,wrench handle,2,500.00,EGP,0,0.00,0,0.00,030599,X,01,F,EG07,0D09
,,0E4E,11/14/2017,4500674987,80,NB,0OE,1119049    El-Masry Tools Center,30411482,socket handle,1,60.00,EGP,0,0.00,0,0.00,030599,X,01,F,EG07,0D09
,,0E4E,11/14/2017,4500674987,90,NB,0OE,1119049    El-Masry Tools Center,30411482,socket handle,1,90.00,EGP,0,0.00,0,0.00,030599,X,01,F,EG07,0D09
,,0E4E,11/14/2017,4500674987,100,NB,0OE,1119049    El-Masry Tools Center,30411148,socket various sizes,1,250.00,EGP,0,0.00,0,0.00,030599,X,01,F,EG07,0D09
,,0E4E,11/14/2017,4500674987,110,NB,0OE,1119049    El-Masry Tools Center,30410480,screwdriver,2,50.00,EGP,0,0.00,0,0.00,030599,X,01,F,EG07,0D09
,,0E4E,11/14/2017,4500674987,120,NB,0OE,1119049    El-Masry Tools Center,30410637,wrench set,1,575.00,EGP,0,0.00,0,0.00,030599,X,01,F,EG07,0D09
,,0E4E,11/14/2017,4500674987,130,NB,0OE,1119049    El-Masry Tools Center,30410016,drive impact hexagon socket bit set star,2,350.00,EGP,0,0.00,0,0.00,030599,X,01,F,EG07,0D09
,,0E4E,11/14/2017,4500674987,140,NB,0OE,1119049    El-Masry Tools Center,30410675,alankey set,2,400.00,EGP,0,0.00,0,0.00,030599,X,01,F,EG07,0D09
,,0E4E,11/14/2017,4500674987,150,NB,0OE,1119049    El-Masry Tools Center,30410856,socket set,1,975.00,EGP,0,0.00,0,0.00,030599,X,01,F,EG07,0D09
